Country,Channel,year,month,day,Hour,"Test Period (1 = Test Period, 0 = Non-test period)",Hour Designation (during test period),BRAND_ads_ON_Flag (valid during test period only),cnt_obsrv,Users,NewUsers,Trials
United States,PPC Branded,2023,5,1,0,0,control,0,1,9,4,0
United States,PPC Branded,2023,5,1,1,0,control,0,1,8,4,1
United States,PPC Branded,2023,5,1,2,1,test,1,1,8,7,1
United States,PPC Branded,2023,5,1,3,1,test,1,1,5,3,0
United States,PPC Branded,2023,5,1,4,0,control,0,1,2,1,5
United States,PPC Branded,2023,5,1,5,0,control,0,1,9,0,0
United States,PPC Branded,2023,5,1,6,1,test,1,1,8,2,5
United States,PPC Branded,2023,5,1,7,1,test,1,1,7,2,10
United States,PPC Branded,2023,5,1,8,0,control,0,1,6,6,0
United States,PPC Branded,2023,5,1,9,0,control,0,1,8,9,8
United States,PPC Branded,2023,5,1,10,1,test,1,1,4,10,4
United States,PPC Branded,2023,5,1,11,1,test,1,1,1,4,5
United States,PPC Branded,2023,5,1,12,0,control,0,1,5,3,6
United States,PPC Branded,2023,5,1,13,0,control,0,1,7,5,7
United States,PPC Branded,2023,5,1,14,1,test,1,1,3,4,4
United States,PPC Branded,2023,5,1,15,1,test,1,1,9,3,2
United States,PPC Branded,2023,5,1,16,0,control,0,1,4,3,3
United States,PPC Branded,2023,5,1,17,0,control,0,1,9,4,2
United States,PPC Branded,2023,5,1,18,1,test,1,1,6,1,4
United States,PPC Branded,2023,5,1,19,1,test,1,1,1,1,9
United States,PPC Branded,2023,5,1,20,0,control,0,1,2,6,6
United States,PPC Branded,2023,5,1,21,0,control,0,1,1,0,6
United States,PPC Branded,2023,5,1,22,1,test,1,1,2,8,7
United States,PPC Branded,2023,5,1,23,1,test,1,1,4,4,9
United States,PPC Branded,2023,5,2,0,0,control,0,1,10,8,10
United States,PPC Branded,2023,5,2,1,0,control,0,1,2,3,2
United States,PPC Branded,2023,5,2,2,1,test,1,1,9,10,8
United States,PPC Branded,2023,5,2,3,1,test,1,1,9,6,6
United States,PPC Branded,2023,5,2,4,0,control,0,1,6,5,7
United States,PPC Branded,2023,5,2,5,0,control,0,1,9,4,2
United States,PPC Branded,2023,5,2,6,1,test,1,1,2,1,6
United States,PPC Branded,2023,5,2,7,1,test,1,1,5,2,3
United States,PPC Branded,2023,5,2,8,0,control,0,1,9,5,8
United States,PPC Branded,2023,5,2,9,0,control,0,1,2,2,8
United States,PPC Branded,2023,5,2,10,1,test,1,1,1,1,8
United States,PPC Branded,2023,5,2,11,1,test,1,1,7,10,5
United States,PPC Branded,2023,5,2,12,0,control,0,1,6,9,2
United States,PPC Branded,2023,5,2,13,0,control,0,1,10,4,2
United States,PPC Branded,2023,5,2,14,1,test,1,1,6,2,3
United States,PPC Branded,2023,5,2,15,1,test,1,1,6,7,3
United States,PPC Branded,2023,5,2,16,0,control,0,1,8,3,5
United States,PPC Branded,2023,5,2,17,0,control,0,1,8,4,6
United States,PPC Branded,2023,5,2,18,1,test,1,1,3,4,6
United States,PPC Branded,2023,5,2,19,1,test,1,1,6,7,7
United States,PPC Branded,2023,5,2,20,0,control,0,1,2,3,2
United States,PPC Branded,2023,5,2,21,0,control,0,1,3,4,5
United States,PPC Branded,2023,5,2,22,1,test,1,1,0,5,2
United States,PPC Branded,2023,5,2,23,1,test,1,1,6,4,3
