Country,Channel,year,month,day,Hour,"Test Period (1 = Test Period, 0 = Non-test period)",Hour Designation (during test period),BRAND_ads_ON_Flag (valid during test period only),cnt_obsrv,Users,NewUsers,Trials
United States,SEO,2023,5,1,0,0,control,0,1,12,3,0
United States,SEO,2023,5,1,1,0,control,0,1,12,4,0
United States,SEO,2023,5,1,2,0,test,1,1,9,1,0
United States,SEO,2023,5,1,3,0,test,1,1,6,2,0
United States,SEO,2023,5,1,4,0,control,0,1,3,2,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
