Customer_No,Age_Group,Tenure,DEP_IND,CC_IND,MTG_IND,LOC_IND,DEP_PROF,CC_PROF,MTG_PROF,LOC_PROF,AREA,MOBILE_ACTIVE,PAYROLL_DEPOSIT,CSAT,CX_QUALITY,CUST_ENGAGEMENT,CUST_AFFLUENCE,SEGMENT,CLV_DEPOSITS,CLV_CREDITCARD,CLV_MORTGAGE,CLV_LOC,ACQ_SCORE,EMAILABLE,MAILABLE,MILLENNIAL
1,51 or higher,21-30 years,1,0,0,1,-106,0,0,357.2,TORONTO,1,0,,741-780,3,1,Gold,"1,314.29",0,0,-112.34,0.15,1,1,0
2,31-50,21-30 years,1,0,0,1,-186,0,0,1242.6,TORONTO,1,0,,741-780,2,4,Platinum,0,0,0,3542.77,0.16,1,0,0
3,31-50,21-30 years,1,1,1,1,-193,984,1402,-136.8,TORONTO,1,0,,741-780,3,4,Gold,"1,547.89",7761.55,94024.415,-4.965,0.2,1,1,1
4,31-50,21-30 years,1,1,1,1,-216,1550,3338,-256.5,SCARBOROUGH,1,1,100,741-780,3,3,Platinum,94.36,930.39,26864.33,323.12,0.19,1,1,0
5,51 or higher,21-30 years,1,1,1,1,86,359,-255,122.55,TORONTO,1,1,0,861 or higher,3,4,Platinum,"4,083.42",791.325,9191.885,-112.34,0.17,1,1,0
6,31-50,11-20 years,0,1,1,1,0,-118,8487,1275.85,BEACHES,1,0,0,741-780,2,4,Silver,0,-6.005,58252.24,-224.68,0.16,1,1,1
7,51 or higher,21-30 years,1,1,1,1,-204,687,-1536,2354.1,TORONTO,1,1,0,861 or higher,3,4,Platinum,"3,843.18",625.975,42149.055,3846.555,0.18,1,1,0
8,31-50,21-30 years,1,1,1,1,-262,1089,-2519,1607.4,BEACHES,1,1,100,821-860,3,4,Platinum,"3,469.87",412.985,25464.475,-224.68,0.17,1,1,1
9,31-50,21-30 years,1,1,1,1,16,1691,-812,27.55,BEACHES,1,0,50,661-700,3,3,Bronze,"2,724.26",4987.69,14144.38,464.995,0.19,1,0,1
10,51 or higher,21-30 years,1,1,1,0,-86,879,7675,0,BEACHES,1,0,,781-820,3,4,Platinum,810.94,3853.085,65535.03,0,0.18,1,1,0
11,51 or higher,21-30 years,1,0,0,1,8394,0,0,-329.65,BEACHES,0,1,100,821-860,2,4,Silver,"2,270.14",0,0,-224.68,0.14,0,1,0
12,30 or under,10 years or under,1,1,1,1,-2,27,3906,781.85,TORONTO,1,1,100,861 or higher,3,4,Platinum,"1,119.45",3332.625,25574.375,-112.34,0.17,1,1,1
13,30 or under,10 years or under,1,1,1,1,18,109,4854,-739.1,TORONTO,1,0,-50,821-860,3,4,Platinum,315.85,716.75,25735.825,2813.51,0.16,1,1,1
14,31-50,21-30 years,1,1,0,1,1187,1858,0,787.55,TORONTO,1,1,,741-780,3,4,Platinum,"6,283.94",7750.685,0,-112.34,0.18,1,1,1
15,31-50,21-30 years,1,1,0,1,297,1052,0,178.6,TORONTO,1,1,,821-860,3,4,Platinum,"3,857.42",9279.025,0,-112.34,0.18,1,0,0
16,31-50,21-30 years,0,1,1,1,0,210,3527,-855.95,ETOBICOKE,0,0,,861 or higher,2,4,Platinum,0,8197.09,92626.905,1616.305,0.16,0,0,0
17,31-50,21-30 years,1,1,1,1,12,-152,-922,1766.05,SCARBOROUGH,1,1,,781-820,3,4,Platinum,"2,000.34",0,45519.59,-112.34,0.21,1,1,1
18,51 or higher,30 years or higher,1,1,1,1,-30,906,-361,9952.2,RICHMOND HILL,0,0,,821-860,2,4,Platinum,"1,605.39",900.64,96.735,3710.495,0.14,0,0,0
19,31-50,21-30 years,1,1,1,1,-93,818,361,2760.7,SCARBOROUGH,1,1,0,781-820,3,4,Platinum,921.85,2327.145,14174.04,-224.68,0.2,1,1,1
20,51 or higher,21-30 years,1,1,0,1,78,6943,0,-104.5,TORONTO,1,1,100,741-780,3,2,Gold,"2,567.27",9635,0,-112.34,0.19,1,1,0
21,51 or higher,11-20 years,1,1,1,1,-170,580,7086,1834.45,TORONTO,1,1,100,561-660,3,3,Bronze,"3,537.96",379.1,27986.55,-224.68,0.21,1,1,0
22,31-50,30 years or higher,1,1,1,1,-170,795,1999,2238.2,SCARBOROUGH,0,1,,741-780,3,4,Platinum,"2,604.01",2987.62,8377.26,656.05,0.19,0,1,1
23,51 or higher,21-30 years,1,1,1,1,145,1,11691,-958.55,TORONTO,1,1,0,561-660,3,4,Gold,"4,152.78",40.98,48530.525,73.745,0.23,1,0,0
24,31-50,21-30 years,1,1,1,1,250,193,224,1052.6,SCARBOROUGH,1,1,,741-780,3,4,Platinum,"2,577.64",173.565,8788.73,-224.68,0.16,1,0,1
25,51 or higher,21-30 years,1,1,0,1,-16,-144,0,-321.1,TORONTO,1,0,0,821-860,3,4,Gold,0,40.475,0,-140.415,0.17,1,0,0
26,31-50,21-30 years,1,0,1,1,-190,0,0,1907.6,RICHMOND HILL,1,1,,861 or higher,3,4,Platinum,"2,872.58",1209.525,7044.08,1364.74,0.18,1,0,0
27,51 or higher,21-30 years,1,1,1,1,-164,181,2955,-435.1,TORONTO,1,1,100,781-820,3,4,Platinum,"4,479.75",0,39999.455,1308.655,0.19,1,1,0
28,51 or higher,21-30 years,0,1,0,1,0,1213,0,617.5,SCARBOROUGH,0,0,,561-660,2,2,Bronze,0,2200.425,0,-112.34,0.16,0,1,0
29,30 or under,10 years or under,1,1,1,1,363,6753,-657,612.75,RICHMOND HILL,1,1,,701-740,3,4,Bronze,"2,775.31",-179.4,9274.845,59.745,0.2,1,0,1
30,30 or under,21-30 years,1,1,0,1,599,270,0,-243.2,TORONTO,1,1,,821-860,3,4,Platinum,"2,180.75",2080.705,0,-112.34,0.18,1,1,1
31,31-50,21-30 years,1,1,0,1,112,59,0,-54.15,TORONTO,1,1,100,701-740,3,4,Gold,"2,656.86",2146.08,0,-112.34,0.17,1,0,1
32,51 or higher,21-30 years,1,1,0,0,-174,97,0,0,ETOBICOKE,1,0,,661-700,2,1,Bronze,6.41,18.935,0,-112.34,0.15,1,0,0
33,30 or under,10 years or under,1,1,1,1,130,2126,456,-651.7,OAKVILLE,0,0,100,661-700,2,4,Gold,820.26,733.27,10010.49,1056.705,0.17,0,1,1
34,51 or higher,11-20 years,1,0,1,1,79,0,-5138,8247.9,ETOBICOKE,1,1,50,861 or higher,3,4,Platinum,"1,281.30",31.455,52407.71,6700.215,0.17,1,0,0
